Predictor variable,Categorical,Sample average
alt,false,323.3125
bio12,false,1294.7916666666667
bio13,false,184.39583333333334
bio14,false,42.333333333333336
bio15,false,45.875
bio17,false,146.27083333333334
bio18,false,396.1041666666667
bio19,false,204.0625
bio2,false,110.875
bio3,false,60.770833333333336
bio4,false,2664.8541666666665
bio5,false,304.4791666666667
bio8,false,221.45833333333334
cattle,false,59.93131850007436
glc2000,true,50.0
