Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.97375E-5,14.756132063,0.214083891,0.335025381,0.0625,0
8.10228E-5,15.005377848,0.21678672,0.331939883,0.0625,0
8.24131E-5,15.250700339,0.219689444,0.328953917,0.0625,0
8.35024E-5,15.508012702,0.221948574,0.325868418,0.0625,0
8.44844E-5,15.752112699,0.22397422,0.322981985,0.0625,0
8.57337E-5,16.007343822,0.226535877,0.319996019,0.0625,0
8.69076E-5,16.257623,0.228927692,0.317109585,0.0625,0
8.81124E-5,16.502571404,0.231367052,0.314322683,0.0625,0
8.90939E-5,16.751074311,0.23334282,0.311535782,0.0625,0
8.99244E-5,17.001633273,0.235006913,0.30874888,0.0625,0
9.10509E-5,17.25507086,0.23725229,0.305961979,0.0625,0
9.19287E-5,17.502202215,0.238993003,0.303274609,0.083333333,0
9.30968E-5,17.752269796,0.241297041,0.30058724,0.104166667,0
9.40582E-5,18.005125152,0.243182832,0.297899871,0.104166667,0
9.45959E-5,18.250302441,0.244233542,0.295312033,0.104166667,0
9.58981E-5,18.507714168,0.246766048,0.292624664,0.104166667,0
9.69004E-5,18.75860763,0.248703723,0.290036827,0.104166667,0
9.78927E-5,19.002236728,0.250612246,0.287548522,0.104166667,0
9.85687E-5,19.257659067,0.251906949,0.284960685,0.104166667,0
9.96191E-5,19.505105454,0.253909774,0.28247238,0.104166667,0
1.00426E-4,19.755089771,0.255441188,0.279984075,0.104166667,0
1.0132E-4,20.007274401,0.257130564,0.27749577,0.104166667,0
1.02464E-4,20.251698225,0.259280425,0.275106997,0.104166667,0
1.03566E-4,20.509848377,0.261339847,0.272618692,0.104166667,0
1.04252E-4,20.759155015,0.262616697,0.270229919,0.125,0
1.05192E-4,21.010293935,0.264358687,0.267841147,0.125,0
1.06294E-4,21.253325623,0.266389951,0.265551906,0.125,0
1.07056E-4,21.509414717,0.267788634,0.263163133,0.125,0
1.07841E-4,21.756425446,0.269223333,0.260873893,0.125,0
1.08595E-4,22.005428147,0.270596809,0.258584652,0.125,0
1.09314E-4,22.256024706,0.271900529,0.256295412,0.125,0
1.10601E-4,22.50873976,0.274225066,0.254006171,0.125,0
1.11412E-4,22.752975703,0.275680346,0.251816463,0.125,0
1.11905E-4,23.00992983,0.27656294,0.249527222,0.125,0
1.12873E-4,23.25735979,0.278289929,0.247337514,0.125,0
1.13539E-4,23.506457979,0.279473692,0.245147805,0.125,0
1.1509E-4,23.757782637,0.282213996,0.242958097,0.125,0
1.15841E-4,24.000179991,0.283533339,0.240867921,0.125,0
1.16841E-4,24.256248388,0.285283241,0.238678212,0.125,0
1.17729E-4,24.502800334,0.286828192,0.236588036,0.125,0
1.18273E-4,24.750773805,0.287773228,0.23449786,0.145833333,0
1.19089E-4,25.000073823,0.289184365,0.232407684,0.145833333,0
1.19843E-4,25.250827449,0.290482389,0.230317508,0.166666667,0
1.20678E-4,25.503413364,0.291915434,0.228227332,0.166666667,0
1.21429E-4,25.757674591,0.293200251,0.226137155,0.166666667,0
1.22688E-4,26.001887082,0.295341953,0.224146511,0.166666667,0
1.23553E-4,26.260423257,0.296806227,0.222056335,0.166666667,0
1.24164E-4,26.508129772,0.297837147,0.220065691,0.166666667,0
1.25165E-4,26.757604485,0.299519583,0.218075047,0.166666667,0
1.26375E-4,27.00877353,0.30154076,0.216084403,0.166666667,0
1.27284E-4,27.262493722,0.303052618,0.214093759,0.166666667,0
1.28409E-4,27.505552136,0.304914186,0.212202648,0.1875,0
1.29365E-4,27.750406083,0.306489172,0.210311536,0.1875,0
1.3011E-4,28.009844162,0.307710474,0.208320892,0.1875,0
1.30838E-4,28.257636986,0.308901398,0.20642978,0.1875,0
1.31622E-4,28.50697217,0.310178191,0.204538668,0.1875,0
1.3258E-4,28.757926921,0.311731356,0.202647556,0.1875,0
1.33167E-4,29.010437628,0.312681045,0.200756445,0.1875,0
1.3416E-4,29.251234715,0.314279426,0.198964865,0.1875,0
1.35042E-4,29.506934287,0.315693837,0.197073753,0.1875,0
1.3647E-4,29.751197453,0.317970296,0.195282174,0.1875,0
1.37651E-4,30.011833249,0.319841602,0.193391062,0.1875,0
1.38754E-4,30.260592009,0.321579703,0.191599482,0.1875,0
1.39951E-4,30.51158675,0.323456346,0.189807903,0.1875,0
1.40901E-4,30.75045869,0.324939094,0.188115855,0.1875,0
1.41709E-4,31.004847569,0.326194571,0.186324276,0.1875,0
1.42663E-4,31.260789631,0.32767087,0.184532696,0.1875,0
1.43785E-4,31.504172258,0.329398821,0.182840649,0.1875,0
1.44845E-4,31.763731199,0.331023822,0.181049069,0.1875,0
1.46037E-4,32.011178092,0.332842053,0.179357022,0.1875,0
1.4689E-4,32.260055677,0.334136062,0.177664975,0.1875,0
1.47903E-4,32.510552373,0.335666246,0.175972927,0.1875,0
1.49163E-4,32.763166278,0.337561358,0.17428088,0.1875,0
1.49769E-4,33.002448872,0.338468269,0.172688365,0.1875,0
1.50828E-4,33.257969808,0.340047335,0.170996317,0.1875,0
1.52033E-4,33.500338231,0.3418353,0.169403802,0.1875,0
1.53467E-4,33.759952989,0.343950577,0.167711755,0.1875,0
1.55026E-4,34.006990722,0.346235653,0.16611924,0.1875,0
1.56184E-4,34.25612413,0.347921193,0.164526724,0.208333333,0
1.57182E-4,34.506904552,0.349368035,0.162934209,0.229166667,0
1.58347E-4,34.759282636,0.351049193,0.161341694,0.229166667,0
1.59791E-4,35.013770487,0.35311917,0.159749179,0.25,0
1.60739E-4,35.254134102,0.35447207,0.158256196,0.25,0
1.62065E-4,35.512425193,0.356354649,0.156663681,0.25,0
1.63528E-4,35.756491941,0.358417278,0.155170698,0.25,0
1.6463E-4,36.002699155,0.359963558,0.153677715,0.25,0
1.65794E-4,36.250520313,0.36158861,0.152184732,0.25,0
1.67052E-4,36.500196007,0.363335313,0.150691749,0.25,0
1.68699E-4,36.752368874,0.365607333,0.149198766,0.270833333,0
1.69813E-4,37.006176899,0.367135908,0.147705783,0.270833333,0
1.71305E-4,37.261814434,0.369170115,0.1462128,0.270833333,0
1.72704E-4,37.502572896,0.371066333,0.144819349,0.291666667,0
1.74807E-4,37.763291513,0.373895332,0.143326366,0.291666667,0
1.76271E-4,38.009200682,0.375850879,0.141932915,0.291666667,0
1.77587E-4,38.25689546,0.377596155,0.140539465,0.291666667,0
1.79329E-4,38.50663273,0.379893066,0.139146014,0.291666667,0
1.80385E-4,38.758480764,0.381278275,0.137752563,0.291666667,0
1.82161E-4,39.01265449,0.3835915,0.136359112,0.291666667,0
1.83462E-4,39.25043357,0.385276312,0.135065194,0.291666667,0
1.84641E-4,39.508086042,0.386794179,0.133671743,0.291666667,0
1.85703E-4,39.767475144,0.388154969,0.132278292,0.291666667,0
1.86983E-4,40.009831318,0.389787641,0.130984373,0.291666667,0
1.88178E-4,40.253555095,0.391303702,0.129690455,0.291666667,0
1.89497E-4,40.517993562,0.392968943,0.128297004,0.291666667,0
1.91436E-4,40.765563134,0.395400236,0.127003085,0.291666667,0
1.92825E-4,41.015363801,0.3971302,0.125709167,0.291666667,0
1.93616E-4,41.266686471,0.398110127,0.124415248,0.291666667,0
1.95231E-4,41.500055017,0.400102704,0.123220862,0.291666667,0
1.96519E-4,41.754731955,0.401681474,0.121926943,0.3125,0
1.98325E-4,42.011263486,0.403882131,0.120633025,0.3125,0
1.9938E-4,42.269926891,0.405160839,0.119339106,0.3125,0
2.00475E-4,42.509854811,0.406481362,0.11814472,0.3125,0
2.01471E-4,42.751132908,0.407677533,0.116950333,0.3125,0
2.03361E-4,43.01459793,0.409933846,0.115656415,0.3125,0
2.0433E-4,43.259321398,0.411084252,0.114462028,0.333333333,0
2.05589E-4,43.50528542,0.412571604,0.113267642,0.333333333,0
2.07158E-4,43.753101787,0.414415276,0.112073256,0.333333333,0
2.09097E-4,44.002855101,0.416678781,0.110878869,0.354166667,0
2.11539E-4,44.254980943,0.419503716,0.109684483,0.354166667,0
2.13158E-4,44.510104324,0.421360813,0.108490097,0.354166667,0
2.154E-4,44.767667885,0.423913901,0.10729571,0.354166667,0
2.16958E-4,45.005456818,0.425675526,0.106200856,0.354166667,0
2.18204E-4,45.266455073,0.427075936,0.10500647,0.354166667,0
2.20012E-4,45.507470652,0.429095741,0.103911615,0.354166667,0
2.21665E-4,45.750320906,0.430930641,0.102816761,0.354166667,0
2.23442E-4,46.017536087,0.432889499,0.101622375,0.354166667,0
2.24621E-4,46.263967224,0.434181976,0.100527521,0.354166667,0
2.25995E-4,46.511799372,0.435680847,0.099432666,0.354166667,0
2.27098E-4,46.760973378,0.436878997,0.098337812,0.354166667,0
2.28505E-4,47.011686363,0.438398711,0.097242958,0.354166667,0
2.3038E-4,47.264158028,0.440411999,0.096148104,0.354166667,0
2.31593E-4,47.518145804,0.441705751,0.09505325,0.375,0
2.33273E-4,47.750939232,0.443489121,0.094057928,0.375,0
2.35613E-4,48.008788779,0.445954329,0.092963074,0.375,0
2.37321E-4,48.269005338,0.447739495,0.091868219,0.375,0
2.39813E-4,48.50823353,0.450324253,0.090872897,0.375,0
2.42202E-4,48.773995064,0.452779082,0.089778043,0.375,0
2.44128E-4,49.017261545,0.454741888,0.088782721,0.375,0
2.46299E-4,49.262712676,0.456938249,0.087787399,0.375,0
2.48074E-4,49.510039233,0.458720823,0.086792077,0.375,0
2.50209E-4,49.759207307,0.460849467,0.085796755,0.375,0
2.5257E-4,50.010616722,0.463183505,0.084801433,0.395833333,0
2.54652E-4,50.264553155,0.465225058,0.083806111,0.395833333,0
2.56031E-4,50.51993761,0.46656952,0.082810789,0.395833333,0
2.5758E-4,50.751087776,0.46807046,0.081915,0.395833333,0
2.59287E-4,51.009233306,0.469715743,0.080919678,0.395833333,0
2.60985E-4,51.269496543,0.471341369,0.079924356,0.395833333,0
2.62801E-4,51.505254968,0.473070294,0.079028566,0.395833333,0
2.65762E-4,51.769430048,0.47586367,0.078033244,0.395833333,0
2.68508E-4,52.010469137,0.478427941,0.077137454,0.395833333,0
2.70998E-4,52.253724053,0.480732302,0.076241664,0.395833333,0
2.72308E-4,52.525406381,0.481935772,0.075246342,0.395833333,0
2.76463E-4,52.77275306,0.485717328,0.074350552,0.395833333,0
2.78093E-4,53.022489621,0.48718663,0.073454763,0.395833333,0
2.79517E-4,53.273356121,0.488462682,0.072558973,0.416666667,0
2.81803E-4,53.526426835,0.490498097,0.071663183,0.416666667,0
2.84723E-4,53.753243988,0.493074411,0.070866925,0.416666667,0
2.87332E-4,54.010982287,0.495354254,0.069971136,0.416666667,0
2.91338E-4,54.271893371,0.498815818,0.069075346,0.416666667,0
2.94473E-4,54.50613468,0.501491388,0.068279088,0.416666667,0
2.96933E-4,54.772417923,0.503571539,0.067383298,0.416666667,0
2.99163E-4,55.011164049,0.505441769,0.066587041,0.416666667,0
